# From Humes et al. 2024
Wavelength          Emissivity
8.97082             0.9186758
8.97082             0.9186758
8.97082             0.9186758
8.97082             0.9186758
8.97082             0.9186758
8.97082             0.9186758
8.97082             0.9186758
8.97082             0.9186758
8.97082             0.9186758
8.97082             0.9186758
8.97082             0.9186758
9.129507            0.9265159
9.129507            0.9265159
9.129507            0.9265159
9.129507            0.9265159
9.129507            0.9265159
9.129507            0.9265159
9.129507            0.9265159
9.4282              0.9319427
9.4282              0.9319427
9.4282              0.9319427
9.4282              0.9319427
9.4282              0.9319427
9.4282              0.9319427
9.4282              0.9319427
9.4282              0.9319427
9.4282              0.9319427
9.810957            0.9305942
9.814037            0.9305942
9.814037            0.9305942
9.814037            0.9305942
9.814037            0.9305942
9.814037            0.9305942
9.814037            0.9305942
9.814037            0.9305942
9.814037            0.9305942
9.814037            0.9305942
9.814037            0.9305942
9.814037            0.9305942
9.814037            0.9305942
10.24781            0.928194
10.24781            0.928194
10.24781            0.928194
10.24781            0.928194
10.24781            0.928194
10.24781            0.928194
10.24781            0.928194
10.24781            0.928194
10.24781            0.928194
10.24781            0.928194
10.24781            0.928194
10.55512            0.9249746
10.55512            0.9249746
10.55512            0.9249746
10.55512            0.9249746
10.55512            0.9249746
10.55512            0.9249746
10.55512            0.9249746
10.94219            0.9197473
10.94219            0.9197473
10.94219            0.9197473
10.94219            0.9197473
10.94219            0.9197473
10.94219            0.9197473
10.94219            0.9197473
11.24817            0.9141342
11.24817            0.9141342
11.24817            0.9141342
11.24817            0.9141342
11.24817            0.9141342
11.24817            0.9141342
11.24817            0.9141342
11.24817            0.9141342
11.24817            0.9141342
11.24817            0.9141342
11.24817            0.9141342
11.46998            0.9084635
11.46998            0.9084635
11.46998            0.9084635
11.46998            0.9084635
11.46998            0.9084635
11.46998            0.9084635
11.66583            0.9018168
11.66583            0.9018168
11.66583            0.9018168
11.66583            0.9018168
11.66583            0.9018168
11.89287            0.8923595
11.89287            0.8923595
11.89287            0.8923595
11.89287            0.8923595
11.89287            0.8923595
12.053              0.8834611
12.053              0.8834611
12.053              0.8834611
12.053              0.8834611
12.053              0.8834611
12.053              0.8834611
12.053              0.8834611
12.053              0.8834611
12.053              0.8834611
12.26916            0.8748543
12.26916            0.8748543
12.26916            0.8748543
12.26916            0.8748543
12.48728            0.8650377
12.48728            0.8650377
12.48728            0.8650377
12.48728            0.8650377
12.48728            0.8650377
12.48728            0.8650377
12.48728            0.8650377
12.78741            0.8594345
12.78741            0.8594345
12.78741            0.8594345
12.78741            0.8594345
12.78741            0.8594345
12.78741            0.8594345
12.78741            0.8594345
12.78741            0.8594345
12.78741            0.8594345
13.04987            0.8568975
13.04987            0.8568975
13.04987            0.8568975
13.04987            0.8568975
13.04987            0.8568975
13.28513            0.8613204
13.28513            0.8613204
13.28513            0.8613204
13.28513            0.8613204
13.28513            0.8613204
